id,event_datetime,username,event_description
351,2024-03-16 10:50:53,admin,неверный пароль
352,2024-03-16 10:50:53,admin,заблокирован
353,2024-03-16 10:50:53,admin,пользователь заблокирован на 30 секунд
354,2024-03-16 10:51:11,admin,заблокирован
355,2024-03-16 10:51:11,admin,пользователь заблокирован на 30 секунд
356,2024-03-16 10:51:11,admin,заблокирован
357,2024-03-16 10:51:11,admin,пользователь заблокирован на 30 секунд
358,2024-03-16 10:52:19,admin,авторизован с правами
359,2024-03-16 11:00:43,admin,вышел
360,2024-03-16 11:14:43,admin,авторизован с правами
361,2024-03-16 11:14:45,admin,вышел
362,2024-03-16 11:15:45,admin,неверный пароль
363,2024-03-16 11:15:47,admin,неверный пароль
364,2024-03-16 11:15:48,admin,неверный пароль
365,2024-03-16 11:15:48,admin,заблокирован
366,2024-03-16 11:15:48,admin,пользователь заблокирован на 30 секунд
367,2024-03-16 11:15:50,admin,неверный пароль
368,2024-03-16 11:15:50,admin,заблокирован
369,2024-03-16 11:15:50,admin,пользователь заблокирован на 30 секунд
370,2024-03-16 11:15:51,admin,заблокирован
371,2024-03-16 11:15:51,admin,пользователь заблокирован на 30 секунд
372,2024-03-16 11:15:51,admin,заблокирован
373,2024-03-16 11:15:51,admin,пользователь заблокирован на 30 секунд
374,2024-03-16 11:26:31,admin,авторизован с правами
375,2024-03-16 11:26:32,admin,вышел
376,2024-03-16 12:20:15,admin,неверный пароль
377,2024-03-16 12:20:16,admin,неверный пароль
378,2024-03-16 12:20:17,admin,неверный пароль
379,2024-03-16 12:20:17,admin,пользователь заблокирован на 30 секунд
380,2024-03-16 12:20:20,1,авторизован
381,2024-03-16 12:20:24,1,вышел
382,2024-03-16 12:21:07,admin,авторизован с правами
383,2024-03-16 17:05:32,admin,авторизован с правами
